127.0.0.1 - - [23/Jul/2024:14:56:31 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/Index.jsp HTTP/1.1" 200 7154
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/css/main.css HTTP/1.1" 200 86346
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/js/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/images/visiomed_logo.png HTTP/1.1" 200 11758
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/css/style.css HTTP/1.1" 200 2641
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/css/fontawesome-all.min.css HTTP/1.1" 200 59401
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/js/jquery.dropotron.min.js HTTP/1.1" 200 5105
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/js/browser.min.js HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/js/bootstrap.js HTTP/1.1" 200 135079
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/js/jquery.scrollex.min.js HTTP/1.1" 200 2256
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/js/main.js HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/js/bootstrap.min.js HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/js/util.js HTTP/1.1" 200 11847
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/js/breakpoints.min.js HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/images/bgimg_1.jpg HTTP/1.1" 200 567836
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [23/Jul/2024:14:56:48 -0400] "GET /Project_VisioMed/assets/css/images/bgimg.png HTTP/1.1" 200 323
